TEST_PARAM.comment:,18650

SourceMeter Model:,2450
SourceMeter S/N:,00000000
SourceMeter Firmware:,1.7.1e

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,4.1914849281
TEST_PARAM.vcutoff:,3

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,1
TEST_PARAM.max_discharge_current:,1

TEST_PARAM.measure_interval:,10

TEST_PARAM.discharge_start_time:,07/03/20 14:51:05
TEST_PARAM.discharge_stop_time:,07/03/20 16:59:55

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,254,2530.2067009,3.7779960632,3.5844688416,0.19352722168
BATT_MODEL_RAW:,255,2540.2069688,3.7767715454,3.5831375122,0.1936340332
BATT_MODEL_RAW:,256,2550.2078636,3.7755336761,3.5819396973,0.19359397888
BATT_MODEL_RAW:,257,2560.2083798,3.7744026184,3.5808563232,0.19354629517
BATT_MODEL_RAW:,258,2570.2089833,3.7731132507,3.5794525146,0.19366073608
BATT_MODEL_RAW:,259,2580.2098239,3.7719974518,3.5782852173,0.1937122345
BATT_MODEL_RAW:,260,2590.2103883,3.7707767487,3.5771598816,0.19361686707
BATT_MODEL_RAW:,261,2600.2111209,3.769493103,3.5761108398,0.19338226318
BATT_MODEL_RAW:,262,2610.2115384,3.7682876587,3.5751609802,0.19312667847
BATT_MODEL_RAW:,263,2620.2119146,3.7671794891,3.5741004944,0.19307899475
BATT_MODEL_RAW:,264,2630.2130281,3.7659835815,3.5727539063,0.19322967529
BATT_MODEL_RAW:,265,2640.2137852,3.7647151947,3.571434021,0.19328117371
BATT_MODEL_RAW:,266,2650.2145186,3.7635269165,3.5702133179,0.19331359863
BATT_MODEL_RAW:,267,2660.2154316,3.7623500824,3.5690002441,0.19334983826
BATT_MODEL_RAW:,268,2670.2156243,3.7611465454,3.5678062439,0.19334030151
BATT_MODEL_RAW:,269,2680.2161005,3.7600822449,3.5666313171,0.19345092773
BATT_MODEL_RAW:,270,2690.2168678,3.7588157654,3.5651473999,0.19366836548
BATT_MODEL_RAW:,271,2700.2179907,3.757724762,3.5640983582,0.19362640381
BATT_MODEL_RAW:,272,2710.2187643,3.756526947,3.5627861023,0.19374084473
BATT_MODEL_RAW:,273,2720.2193168,3.7552986145,3.5617713928,0.19352722168
